journalId,journalTitle,journalAuthors,citedJournalId,citedJournalTitle,citedJournalAuthors
"3adaf48dcd18b10d885b76cd4420cffaa871acf9","Comparaison De Performance Et De Complexit?? D'algorithmes De D??codage Pond??r?? De Code Cortex","Patrick Adde,Matthieu Arzel","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"cd13eeb9dbb30521393db0c2b7ff5c647bcef83d","On the Impact of Information Theory on Today's Communication Technology","Johannes B Huber,Robert F H Fischer","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"73d37f3886352750594cd9b24a260d6ab2ea576d","On the Enhancement of Ldpc Codes Used in Wimax","Khaled Elmahgoub,Mohammed Nafie","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"eac501c390a4ec3957842d9575c80fd1c8dca4ef","Hybrid hard-decision iterative decoding of regular low-density parity-check codes","Pirouz Zarrinkhat,Amir H. Banihashemi","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"ae48e51378d4025f30f6d4016de09d285e68aa36","Low-Density Parity-Check Code with Fast Decoding Speed","Xudong Ma,En-Hui Yang","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"06a3acd836b6f6b9d0bc7a89d970eb7a6f93c9f3","A study of unsupervised adaptive crowdsourcing","George Kesidis,Aditya Kurve","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"415b85c2f3650ac233399a6f147763055475126d","Quasi-Cyclic LDPC Codes: Influence of Proto- and Tanner-Graph Structure on Minimum Hamming Distance Upper Bounds","Roxana Smarandache,Pascal O. Vontobel","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5909d8547e8b6d7238d800bdca983184f0789058","Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Contents","Ying-Zong Huang,Gregory W Wornell,Robert Gray,Abbas El Gamal,Brian Wandell,Stanford University","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"471f4915299aef0e0a74206af6a79efd34a194ae","A Novel Approach to Built an Area Efficient Architecture for Block Ldpc Codes","M Devika","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"7c20a7b1de1f41f2a65bd2dab8016497b8b004ae","Designing Very Good Low-density Parity-check Codes for the Gilbert-elliott Channel","Andrew W Eckford,Frank R Kschischang,Subbarayan Pasupathy","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
